Transect,Bank,Algae,Bacterial Mat,Chordata,Cnidaria,Coral,Dead Coral,Echinoderm,Hard Bottom,Hydroid,Misc.,Mollusca,Porifera,Soft Bottom,Tunicata
201410291 - Transect 01,Bright,0.936746988,0,0,0.003012048,0.003012048,0,0.00060241,0.013855422,0.001204819,0.00060241,0,0.003614458,0.037349398,0
201410291 - Transect 02,Bright,0.815993121,0,0,0,0,0,0,0.059329321,0,0,0,0.008598452,0.116079106,0
201410291 - Transect 03,Bright,0.786792453,0,0.001257862,0,0,0,0,0.055974843,0,0.000628931,0.001257862,0.001257862,0.152830189,0
201410291 - Transect 04,Bright,0.88,0,0,0,0.000625,0,0,0.03,0,0,0,0.008125,0.08125,0
201410291 - Transect 05,Bright,0.876273654,0,0,0.000727802,0.000727802,0,0,0.028384279,0,0.001455604,0,0.004366812,0.088064047,0
201410291 - Transect 06,Bright,0.947108604,0.000705219,0,0.002820874,0,0.001410437,0,0.027503526,0,0.000705219,0,0.010578279,0.009167842,0
201410291 - Transect 07,Bright,0.89292196,0.00907441,0,0.012704174,0,0.000604961,0,0.011494253,0.003629764,0.003024803,0,0.027828191,0.038717483,0
201410291 - Transect 08,Bright,0.616258219,0.001195457,0,0.004781829,0,0.000597729,0.001793186,0.032875075,0.003586372,0,0,0.005379558,0.333532576,0
201410292 - Transect 01,Bright,0.536144578,0.011295181,0,0,0.000753012,0,0.002259036,0.02560241,0,0,0,0.012048193,0.41189759,0
201410292 - Transect 02,Bright,0.453733248,0.02425016,0,0,0,0,0.001276324,0.066368858,0,0,0,0.000638162,0.453733248,0
201410292 - Transect 03,Bright,0.610414053,0.014429109,0,0,0,0.000627353,0,0.350690088,0,0,0,0.008155583,0.015683814,0
201507106 - Transect 01,Bright,0.664217487,0,0.001469508,0,0.001469508,0,0,0.182218957,0.000734754,0,0,0.0286554,0.121234386,0
201507106 - Transect 02,Bright,0.244680851,0,0.001329787,0.000664894,0,0,0,0.029255319,0.001329787,0,0,0.005319149,0.717420213,0
201507107 - Transect 01,Bright,0.786658654,0,0,0,0.006009615,0,0,0.0390625,0.004807692,0.000600962,0,0.015024038,0.147836538,0
201507111 - Transect 01,Bright,0.933833561,0.000682128,0,0,0,0,0,0.051159618,0,0,0,0.010914052,0.003410641,0
201507111 - Transect 02,Bright,0.896259704,0,0,0,0.001411433,0,0,0.043754411,0,0,0,0.00564573,0.052928723,0
201507111 - Transect 03,Bright,0.917519182,0,0.000639386,0,0,0,0,0.035805627,0,0,0,0.009590793,0.036445013,0
201507112 - Transect 01,Bright,0.971755212,0,0,0,0,0,0,0.020174849,0,0,0,0.00537996,0.00268998,0
201507112 - Transect 02,Bright,0.841803865,0.032211883,0.004294918,0,0.042233357,0,0,0.014316392,0.017179671,0.005726557,0,0.022190408,0.020042949,0
201507112 - Transect 03,Bright,0.930291508,0.000633714,0.000633714,0,0,0,0,0.039923954,0,0,0,0.006970849,0.021546261,0
201507113 - Transect 01,Bright,0.797732697,0,0,0.000596659,0.005369928,0,0,0.038782816,0,0,0,0.007159905,0.150357995,0
EBAL02-201005183,East FGB,0.372964169,0,0,0,0,0,0,0.328990228,0,0,0,0.029315961,0.268729642,0
EBAL03-201005183,East FGB,0.099540582,0,0,0.001531394,0.004594181,0,0,0.024502297,0,0,0,0.012251149,0.857580398,0
EBAL05-201005183,East FGB,0.563694268,0,0,0,0,0,0,0.27388535,0,0,0,0.041401274,0.121019108,0
EBAL07-201005173,East FGB,0,0,0.002873563,0,0,0,0,0,0,0,0,0,0.997126437,0
EBAL08-201005173,East FGB,0,0,0,0,0,0,0,0.00228833,0,0,0,0,0.99771167,0
EBAL09-201005171,East FGB,0.728421053,0,0,0,0,0,0,0.096842105,0,0,0,0.002105263,0.172631579,0
EBAL11-201005171,East FGB,0.498091603,0,0,0,0,0,0,0.309160305,0,0,0,0.074427481,0.118320611,0
EBAL13-201005171,East FGB,0.839403974,0,0,0.003311258,0.004966887,0,0,0.091059603,0,0,0,0.006622517,0.054635762,0
EBAL14-201005171,East FGB,0.293233083,0,0,0,0,0,0,0.040100251,0,0,0,0.005012531,0.661654135,0
EBAL15-201005172,East FGB,0.48019802,0,0,0,0,0,0,0.195544554,0,0,0,0.091584158,0.232673267,0
EBAN04-201207313,East FGB,0.359243697,0,0,0,0,0,0,0.552521008,0,0,0,0.031512605,0.056722689,0
EBAN06-201207313,East FGB,0.290492958,0,0,0,0,0,0,0.501760563,0,0,0,0.042253521,0.165492958,0
EBAN10-201207312,East FGB,0.34562212,0.00921659,0,0.002304147,0,0,0,0.557603687,0,0,0,0.032258065,0.046082949,0.006912442
EBAN14-201105162,East FGB,0.671394799,0,0,0,0,0,0,0.132387707,0,0,0,0.007092199,0.189125296,0
EBAN16-201105162,East FGB,0.13963039,0,0.002053388,0.002053388,0,0,0,0.186858316,0,0,0,0.01026694,0.659137577,0
EBAN17-201105162,East FGB,0.502040816,0,0,0,0,0,0,0.253061224,0,0,0,0.008163265,0.236734694,0
EBAN20-201105173,East FGB,0.532423208,0,0,0,0.010238908,0,0,0.358361775,0,0,0,0.010238908,0.088737201,0
EBAN23-201105173,East FGB,0.594405594,0,0,0,0,0,0,0.331002331,0,0,0,0.053613054,0.020979021,0
EBAN28-201105173,East FGB,0.21802935,0,0,0.01048218,0.008385744,0,0,0.731656184,0,0,0,0.029350105,0.002096436,0
EBC01-201005212,East FGB,0.182978723,0,0,0,0.731914894,0,0,0.055319149,0,0,0,0,0.029787234,0
EBC02-201005212,East FGB,0.603674541,0,0,0,0.287401575,0,0,0.103674541,0,0,0,0,0.005249344,0
EBC03-201005212,East FGB,0.622047244,0,0,0,0.263779528,0,0,0.088582677,0,0,0,0.023622047,0.001968504,0
